2020-07-22 02:15:54 

# COVERAGE 
POSITION_RELATIVE_TO_TFBS	MEAN_DEPTH	CI95_LOWER_BOUND	CI95_UPPER_BOUND	TFBS_ANALYZED	LOW	HIGH
-5000	3.74372395712529	3.481320424703	4.00612748954759	1067	1.09452356879004	0.99948594406021
-4999	3.7643880231245	3.49853807150627	4.03023797474274	1068	1.09441452153776	0.999712485990836
-4998	3.79459980501154	3.52816497643356	4.06103463358952	1068	1.09430560075848	0.999937483155108
-4997	3.74372395712529	3.48056519507247	4.00688271917811	1067	1.09419680818649	1.00016093006841
-4996	3.71348386054108	3.4505556132932	3.97641210778897	1067	1.09408814085631	1.00038282554208
-4995	3.72557989917477	3.46195542059351	3.98920437775602	1067	1.09397960274708	1.00060316203847
-4994	3.7013878219074	3.43840334153067	3.96437230228413	1067	1.09387119406786	1.00082193546319
-4993	3.69275265736684	3.43028451873416	3.95522079599952	1066	1.0937629094456	1.00103914683129
-4992	3.73767593780845	3.4729833154529	4.00236856016401	1067	1.09365475413926	1.00125478742872
-4991	3.72813388486006	3.46136042561908	3.99490734410105	1068	1.09354672431955	1.00146885685922
-4990	3.78855744863413	3.51839871521689	4.05871618205138	1068	1.09343882212009	1.00168134926698
-4989	3.80064216138895	3.53018151742794	4.07110280534995	1068	1.09333104634765	1.00189226184173
-4988	3.81272687414376	3.54160047399709	4.08385327429043	1068	1.09322339716069	1.00210159053605
-4987	3.78855744863413	3.51620791206862	4.06090698519964	1068	1.09311587552027	1.00230933056536
-4986	3.81876923052117	3.54513067707703	4.09240778396531	1068	1.09300848237856	1.00251547715147
-4985	3.79459980501154	3.52337542618711	4.06582418383597	1068	1.0929012120865	1.00272003157221
-4984	3.80312354066835	3.53033663794916	4.07591044338754	1069	1.0927940714602	1.0029229836702
-4983	3.80560028185564	3.53340042429552	4.07780013941576	1070	1.09268705595481	1.00312433371037
-4982	3.82369346861565	3.5497855436938	4.0976013935375	1070	1.09258016670104	1.00332407675022
-4981	3.85384877988234	3.57975153982206	4.12794601994261	1070	1.09247340488293	1.00352220779657
-4980	3.85987984213567	3.58690002348561	4.13285966078574	1070	1.09236677000415	1.00371872339856
-4979	3.90209727790903	3.62793073914141	4.17626381667665	1070	1.0922602592283	1.0039136222564
-4978	3.89003515340236	3.61579395310776	4.16427635369696	1070	1.09215387436443	1.00410689880166
-4977	3.90209727790903	3.62901258591388	4.17518196990418	1070	1.09204761797572	1.00429854677043
-4976	3.91415940241571	3.63970912349527	4.18860968133614	1070	1.09194148657333	1.00448856546267
