2020-07-22 02:32:50 

# COVERAGE 
POSITION_RELATIVE_TO_TFBS	MEAN_DEPTH	CI95_LOWER_BOUND	CI95_UPPER_BOUND	TFBS_ANALYZED	LOW	HIGH
-5000	3.73512972289028	3.61548594484415	3.85477350093641	4981	1.02667919348206	0.968126367564765
-4999	3.72994744092997	3.61021582889563	3.84967905296431	4981	1.02663913898927	0.968320851369451
-4998	3.72421727313591	3.60483338127161	3.84360116500022	4980	1.02659912875446	0.968521920258995
-4997	3.71958287700936	3.6001317607269	3.83903399329183	4981	1.02655916341791	0.968729473705676
-4996	3.72476515896967	3.60502176848498	3.84450854945435	4981	1.02651924189348	0.968943412795053
-4995	3.73956123969505	3.61934111252748	3.85978136686262	4982	1.02647936564622	0.969163636187741
-4994	3.74841893841279	3.6279568013989	3.86888107542667	4984	1.02643953475632	0.969390043832028
-4993	3.73676582254207	3.61638962984556	3.85714201523859	4984	1.02639974725289	0.969622537598481
-4992	3.72974542241286	3.60963563770647	3.84985520711925	4983	1.02636000507146	0.969861015649451
-4991	3.73363057389454	3.61307687831075	3.85418426947833	4983	1.02632030680823	0.970105379286752
-4990	3.73826592925526	3.61774094110647	3.85879091740405	4982	1.02628065325047	0.970355527723489
-4989	3.73772086387043	3.61725042014939	3.85819130759147	4981	1.02624104396295	0.970611361310574
-4988	3.75121903365323	3.63064894031178	3.87178912699468	4982	1.02620147900715	0.970872779914511
-4987	3.76287682761141	3.64203354072526	3.88372011449755	4982	1.02616195873956	0.971139683104362
-4986	3.78284249266248	3.66176757738105	3.90391740794392	4983	1.02612248351351	0.971411970434431
-4985	3.78444922799245	3.6629887107849	3.90590974520001	4986	1.02608305125575	0.971689543741746
-4984	3.79092058440147	3.66981282657106	3.91202834223188	4986	1.02604366447508	0.971972300506342
-4983	3.79427011174481	3.67259055490694	3.91594966858267	4985	1.02600432150408	0.97226014214697
-4982	3.75489289167429	3.63440840806991	3.87537737527868	4984	1.02596502276166	0.972552968089925
-4981	3.75489289167429	3.63452146474444	3.87526431860415	4984	1.02592576868644	0.972850677725484
-4980	3.75802324612596	3.63734007881533	3.87870641343658	4985	1.02588655909924	0.973153171012744
-4979	3.7502560606362	3.62966726534373	3.87084485592867	4985	1.02584739296037	0.97346034871144
-4978	3.74841893841279	3.62784382977822	3.86899404704735	4984	1.02580827093825	0.973772109943848
-4977	3.74323977580358	3.62227678188251	3.86420276972465	4984	1.0257691939788	0.974088353552378
-4976	3.74917117982126	3.62823985218244	3.87010250746008	4983	1.02573016080229	0.974408980474959
-4975	3.74658107883347	3.6262081315702	3.86695402609674	4983	1.02569117226876	0.974733889603567
